Category	Name	IntegratesRatchet	Series
Blade	三角強襲	false	BX
Blade	大蛇簇擁	false	UX
Blade	大黃蜂	false	BX
Blade	天王星	false	BX
Blade	天國日輪	false	BX
Blade	天翼戰神	false	BX
Blade	天蠍長矛	false	UX
Blade	幻獸刺心	false	BX
Blade	王蛇鞭尾	false	BX
Blade	丘巴卡	false	BX
Blade	古屍詛咒	false	UX
Blade	巨岩雄獅	false	BX
Blade	巨鯨怒濤	false	BX
Blade	玄冥戰甲	false	BX
Blade	忍者刺刀	false	BX
Blade	忍者闇影	false	UX
Blade	武士星劍	false	UX
Blade	武士魂斬	false	BX
Blade	武士鋼鐵	false	BX
Blade	空力天馬	false	UX
Blade	金剛王	false	BX
Blade	幽靈元魂	false	UX
Blade	星區長吉迪恩	false	BX
Blade	柯博文	false	BX
Blade	紅浩克	false	BX
Blade	美國隊長	false	BX
Blade	風暴兵	false	BX
Blade	飛龍凌空	false	UX
Blade	飛龍旋翼	false	BX,UX
Blade	悍熊猛爪	false	BX
Blade	時鐘幻象	false	UX
Blade	格羅古	false	BX
Blade	浩克	false	BX
Blade	烈焰飛鳳S	false	BX
Blade	地獄鐮刀	false	BX
Blade	神力聖劍	false	BX
Blade	堅甲戰龜S	false	BX
Blade	密卡登	false	BX
Blade	曼達洛人	false	BX
Blade	猛毒	false	BX
Blade	猛瑪長牙	false	BX
Blade	終極蜘蛛人	false	BX
Blade	雪地兵	false	BX
Blade	惡魔紅鐮	false	BX
Blade	惡魔重錘	false	UX
Blade	惡魔冥界	true	UX
Blade	惡魔鎖鏈	false	BX
Blade	棘龍	false	BX
Blade	皓戰猛虎	false	BX,UX
Blade	雄獅獵爪	false	BX,UX
Blade	雄獅巔峰	false	UX
Blade	滄龍	false	BX
Blade	葛里維斯將軍	false	BX
Blade	路克天行者	false	BX
Blade	達斯維達	false	BX
Blade	隕星龍騎士	false	UX
Blade	雷霆天龍	false	BX
Blade	榮耀武神	true	UX
Blade	綠惡魔	false	BX
Blade	蒼穹龍神	false	BX
Blade	蒼穹龍騎士	false	BX
Blade	蒼龍利刃	false	BX,UX
Blade	蒼龍突擊	false	BX
Blade	蒼龍神劍	false	BX
Blade	蒼龍爆刃	false	BX,UX
Blade	蜘蛛人	false	BX
Blade	赫燃天鳳	false	BX
Blade	銀牙烈虎	false	BX
Blade	鳳凰尾翼	false	UX
Blade	鳳凰飛翼	false	BX
Blade	鳳凰翔羽	false	BX,UX
Blade	彈丸獅鷲	true	UX
Blade	暴風天馬	false	BX
Blade	暴風巨神	false	BX
Blade	暴龍	false	BX
Blade	暴龍咆哮	false	BX
Blade	暴龍霸擊	false	BX
Blade	歐比王肯諾比	false	BX
Blade	衝擊龍神	false	UX
Blade	震盪波	false	BX
Blade	戰羊阻截	false	BX
Blade	戰犀重角	false	BX
Blade	鋼鐵人	false	BX
Blade	龍騎士S	false	BX
Blade	翼龍	false	BX
Blade	翼龍神翼	false	BX
Blade	霜輝銀狼	false	UX
Blade	鮫鯊狂鱗	false	UX
Blade	鮫鯊撕裂	false	BX
Blade	鮫鯊鋒鰭	false	BX
Blade	薩諾斯	false	BX
Blade	騎士長槍	false	BX
Blade	騎士重盾	false	BX
Blade	騎士圓甲	false	UX
Blade	護城龍神	false	BX
